기업코드,기업이름,기업형태,업종,매출액,홈페이지,기업주소,사원수,설립일,대표자명
OENXUXlwSWZ0SVZwSXdlU2dyQit1dz09,줌인터넷(주),"코스닥, 중소기업, 외부감사법인, 주식회사, 병역특례 인증업체",포털 및 기타 인터넷 정보매개 서비스업,,www.zuminternet.com,서울 서초구 반포대로 3,120 명 (2021년 기준),2016년 2월 12일 (업력 6년),이성현
Y1Axb05KeEdxbkhlSXd0VFdIOTRFdz09,(주)엠몬스타,중소기업,시스템 소프트웨어 개발 및 공급업,24억원 (2017년 기준),http://www.mmonstar.co.kr/,"경기 성남시 분당구 판교로 242, C동 4층 401호",36 명 (2017년 기준),2017년 7월 6일 (업력 5년),장한필
VHVCODVNNlhaaVFncjZIZWFGUUwvQT09,보리(주),"중소기업, 주식회사, 수출입 기업",,,bory.io,,,,
cVBkYTAvM0RNU2k4VHBySWNqVi85dz09,비엔비컴퍼니(주),중소기업,응용 소프트웨어 개발 및 공급업,"11억 8,844만원 (2020년 기준)",bnbcompany.io,"서울 서초구 서초대로24길 40, 2층",,2018년 12월 18일 (업력 4년),김복기
YTNTaGtMMnZkaGRyQ2FNUHhGVFo4QT09,(주)야나두,"대기업, 주식회사",온라인 교육 학원,"17억 8,466만원 (2016년 기준)",www.yanadoo.co.kr/english/basic/sub/feature_history,"서울 강남구 영동대로96길 26, 3층, 4층",130 명 (2016년 기준),2008년 7월 11일 (업력 14년),"김정수, 김민철"
MWhkMC8zelRpSU1JSzNTeXZyLzYvZz09,(주)메디블록,"스타트업, 주식회사, 병역특례 인증업체",응용 소프트웨어 개발 및 공급업,"34억 5,019만원 (2020년 기준)",https://medibloc.org/,"서울 강남구 테헤란로 132, 12층",,2017년 4월 20일 (업력 5년),고우균/이은솔
MTk0VklRQzVGRDF3WHI1KzBzc1o2UT09,리드정보기술㈜,"중소기업, 주식회사",컴퓨터 제조업,47억 115만원 (2020년 기준),www.leadit.co.kr,"서울 영등포구 당산로41길 11, E동 1312호",27 명 (2020년 기준),1998년 12월 23일 (업력 24년),조병직
ZlpPanh0b015bmI5WDJBVk8yYlNpQT09,(주)에스알디피,중소기업,경영 컨설팅업,,,"서울 금천구 디지털로 130, 807호",,2019년 10월 2일 (업력 3년),이원복
RnhXLytGNUV6azFUZTlYR0FVbXh6UT09,(주)화이트큐브,중소기업,데이터베이스 및 온라인정보 제공업,,chlngers.com,"서울 강남구 테헤란로 419, 강남파이낸스플라자 패스트파이브 선릉1호점",,2018년 8월 31일 (업력 4년),최혁준
WlZ1NDNKcU9sNXZDZ1ZqOEZWV2l0Zz09,(주)콤웨어,"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,"19억 7,519만원 (2019년 기준)",www.comware.co.kr,"서울 금천구 디지털로9길 68, 801호",22 명 (2019년 기준),2013년 2월 26일 (업력 9년),"김강미, 홍성만"
YytjMERXd2RZT3I3eFFicExBcWZVdz09,오픈나루(주),"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,,www.opennaru.com,"서울 성동구 뚝섬로1길 31, 9층 906호, 907호",17 명 (2022년 기준),2013년 10월 21일 (업력 9년),전준식
OGR6SjNHbHY4UDdkR2N4eGgvU29OZz09,(주)짐싸,"중소기업, 스타트업, 외국인 투자기업, 주식회사",응용 소프트웨어 개발 및 공급업,"22억 3,733만원 (2019년 기준)",www.zimssa.com,"서울 강남구 테헤란로 302, 14층",31 명 (2021년 기준),2017년 10월 10일 (업력 5년),한성배
Q2FXM2FwMmZPUEhTL2pVZHZCSjN0dz09,(주)엠브이소프텍,"중소기업, 주식회사",시스템 소프트웨어 개발 및 공급업,"21억 5,729만원 (2019년 기준)",www.mvsoftech.com,"대전 서구 월평중로 14, 4층",18 명 (2019년 기준),2014년 4월 14일 (업력 8년),이승기
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
T3NvNWZuc2pqNmcxMENjMHI0RFN1dz09,(주)가디언홀딩스,"중소기업, 주식회사",전자상거래 소매 중개업,,,"서울 강남구 언주로 432, 13층",,2018년 11월 30일 (업력 4년),김형모
UDVlVDZsWFM4emV4ZG5FYThEK1F6QT09,플랜트,,디자인·설계,,,서울 강남구 도곡로78길 22,,,김정연
KzdEMTUxN2FZZ0ZRU01XbkpzSk83QT09,허브디앤씨,중소기업,솔루션·SI·ERP·CRM,28억원 (2021년 기준),www.hubdnc.com,서울 강남구 봉은사로48길 6,30 명 (2021년 기준),2016년 1월 1일 (업력 6년),이선우
aEswaGxObHFPU3FESFBXYzBKdmVLQT09,샬레코리아(주),"중소기업, 주식회사",컴퓨터 프로그래밍 서비스업,"247억 6,595만원 (2019년 기준)",http://www.chaletkorea.com,"서울 영등포구 여의대방로65길 17, 8층",35 명 (2019년 기준),2000년 7월 4일 (업력 22년),임진홍
RW1sVnJkbE43SThyWlNSdXVWTHJTQT09,(주)에이아이콜라보,"중소기업, 주식회사",컴퓨터 프로그래밍 서비스업,9만원 (2020년 기준),,"경기 성남시 수정구 대왕판교로 815, 8층 816호",,2020년 3월 16일 (업력 2년),김종철
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
SWN3VmoyVW5JOHhidjUzalFkV3llQT09,에스피테크놀러지(주),"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,"111억 1,196만원 (2020년 기준)",www.sptek.co.kr,서울 서초구 효령로 17,146 명 (2020년 기준),2020년 8월 3일 (업력 2년),채현종
L1Y4TDd0aERLNUg3MDFvMWs5ZEF6UT09,(주)파인스태프,"중소기업, 주식회사",고용 알선업,"151억 6,928만원 (2020년 기준)",www.finestaff.co.kr,"서울 서초구 강남대로39길 6-21, 4층",504 명 (2022년 기준),2003년 4월 16일 (업력 19년),권영록
VHRFdFFENVlzdHZFMkNwU2VSbGN4dz09,(주)슈퍼플레이,"중소기업, 주식회사",상품 종합 중개업,"29억 1,301만원 (2020년 기준)",www.thesuperplay.com,"서울 관악구 남부순환로 2056, 지하1층",,2017년 4월 11일 (업력 5년),김정현/이관우
L2dLWEdTVXRqMlQzd0VQNHhHS3J2QT09,케이원에코텍(주),"중소기업, 외부감사법인, 주식회사",배관 및 냉ㆍ난방 공사업,36억 653만원 (2020년 기준),www.k-1ecotech.com,"서울 강동구 구천면로 192, 1919호",20 명 (2020년 기준),2006년 9월 14일 (업력 16년),김종학
Q3hIS1A1MkFGZjNzMEFGTlVjN1FmZz09,아이디자인랩,"중소기업, 주식회사",시스템 소프트웨어 개발 및 공급업,2억 177만원 (2019년 기준),idesignlab.net,"서울 마포구 잔다리로3안길 24, 303호",6 명 (2019년 기준),2017년 10월 20일 (업력 5년),김태영
