채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
43009584,산업용IT 전문 개발사 JAVA 개발 및 SM경력사원 모집,백엔드,java,경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,,(32027) 충남 서산시 고북면 가구전길 1,29,SmhpMGx5UEtqc1J4MWFlM3JIbGMwUT09
43009575,"산업용IT 개발사 JAVA, SPRING 개발 및  PM  경력사원 모집",백엔드,"java,spring",경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,,(06120) 서울 강남구 강남대로 100(논현동) 서울 9호선 신논현역에서 100m 이내,29,SmhpMGx5UEtqc1J4MWFlM3JIbGMwUT09
43009448,유통 IT 솔루션 개발/유지보수 사원 모집,기타,,신입,"대졸(2,3년제) 이상(예정자 가능)",정규직,,,면접 후 결정,,,"(04780) 서울 성동구 성수일로 20, 7층 수인분당선 서울숲역에서 500m 이내",채용시 마감,NnZCc1p2UE81bWVrU0ZqRVZpcE5jdz09
43009374,JAVA 응용프로그램 (업무지원포털) 유지관리 및 개발 모집,백엔드,java,경력 10년 ↑,"대졸(2,3년제) 이상","계약직, 프리랜서",,"근무조건:인근거주자,활동/경험:해당직무 근무경험",월급 830 만원 (주 40시간),,주 5일(월~금) 09:00~18:00,(03923) 서울 마포구 성암로 301 한국지역정보개발원(KLID Tower)(상암동) 경의중앙선 수색역에서 800m 이내,9,
43009343,반도체 검사장비 SW 개발 / 딥러닝 개발 인재 모집,기타,,무관(신입포함),대졸(4년제) 이상,정규직,"전   공:컴퓨터/시스템공학,기타:Python, Pytorch, Tensorflow 개발 경험, 딥러닝 모델 이해, Vision 관련 전공자","전공:컴퓨터/시스템공학, 공학계열,기타:-C#, WPF 프로젝트 개발 경험자, -시스템/설비 통신 인터페이스 개발 경험자, -정보처리기사 자격 보유자",면접 후 결정,,유연근무제 09:00~18:00,(16648) 경기 수원시 권선구 산업로155번길 280-17 수인분당선 고색역에서 1km 이내,29,R2VPK2I4OGpCME5MdkRlOWFlaFdSQT09
43009320,"[신입]JAVA, JSP, WEB, ERP, SI개발",백엔드,"java,jsp",신입,고교졸업 이상,정규직,,"자격증:정보처리기사, 정보처리산업기사, Oracle Certified Professional,자격/능력:컴퓨터활용능력 우수,근무조건:지방근무 가능자,기타:정보처리기사, 정보처리산업기사",면접 후 결정,,주 5일(월~금),(152-050) 서울 구로구 구로동 851 구로한화비즈메트로1차 304호 서울 7호선 남구로역에서 1km 이내,채용시 마감,cXZSd2hZOXVYMFlXV2JteGtaZTVaUT09
43009301,"[신입] JAVA, JSP, 웹,  ERP,  SI개발",백엔드,"java,jsp",신입,고교졸업 이상,정규직,,"자격증:정보처리기사, 정보처리산업기사, Oracle Certified Professional,자격/능력:컴퓨터활용능력 우수,근무조건:지방근무 가능자,기타:정보처리기사, 정보처리산업기사",면접 후 결정,,주 5일(월~금),(152-050) 서울 구로구 구로동 851 구로한화비즈메트로1차 304호 서울 7호선 남구로역에서 1km 이내,채용시 마감,cXZSd2hZOXVYMFlXV2JteGtaZTVaUT09
43009288,[신입] JAVA JSP 웹 개발자/ SI개발,백엔드,"java,jsp",신입,학력무관,정규직,,"자격증:정보처리기사, 정보처리산업기사, Oracle Certified Professional,자격/능력:컴퓨터활용능력 우수,근무조건:지방근무 가능자,기타:정보처리기사, 정보처리산업기사",면접 후 결정,,주 5일(월~금),(152-050) 서울 구로구 구로동 851 구로한화비즈메트로1차 304호 서울 7호선 남구로역에서 1km 이내,채용시 마감,cXZSd2hZOXVYMFlXV2JteGtaZTVaUT09
43009266,"클라이언트 개발(Unity3D, C#) 경력 및 신입 채용",기타,c#,신입·경력(년수무관),학력무관,정규직,,,"연봉 5,000 만원 (주 45시간)",,주 5일(월~금) 10:00~19:00,(06151) 서울 강남구 테헤란로 313 성지하이츠1 서울 2호선 선릉역에서 500m 이내,29,Rm1zNjd3Q2JZNWVOWTQrY2NEcDhNUT09
43009243,PHP웹프로그래머 경력 및 신입 채용,백엔드,php,신입·경력(년수무관),학력무관,정규직,,"전공:공학계열,활동/경험:해당직무 근무경험","연봉 5,000 만원 (주 45시간)",,주 5일(월~금) 10:00~19:00,(06151) 서울 강남구 테헤란로 313 성지하이츠1 서울 2호선 선릉역에서 500m 이내,29,Rm1zNjd3Q2JZNWVOWTQrY2NEcDhNUT09
